episode,clip_number,youtube_id,start,end,topics
86,1,gBgJRYcIcWA,84,204,Kobe| Table| Jacket
86,2,gBgJRYcIcWA,444,564,Charger| Remote| Bookbag
86,3,gBgJRYcIcWA,700,820,Jägermeister| Shot Glass| Thalassophobia
87,1,WG0ZmvMYVrM,59,179,Euphoria| Advertising| Penthouse| Hotel
87,99,WG0ZmvMYVrM,258,378,AG1 Advertisment
87,2,WG0ZmvMYVrM,365,485,Articulate| Outstanding| Slay
87,3,WG0ZmvMYVrM,566,686,Mathematical| Scientific| Something About History
88,1,cXKJ3uv_XIk,60,180,Rainbow| Onomatopia| Capybara
88,2,cXKJ3uv_XIk,353,473,Xylophone| Escargot| Sewing
88,3,cXKJ3uv_XIk,508,628,Placebo| Sunflower| Hypothesis
88,4,cXKJ3uv_XIk,745,865,Plants| Avocado Tree
88,5,lZiQzYgdw3A,33,153,Basketball| XBox| iPhone
88,6,lZiQzYgdw3A,300,420,Pinecone| Skull| Cottage
88,7,lZiQzYgdw3A,586,706,Trees| Environment| Birds
88,8,lZiQzYgdw3A,772,892,Innocense of being young
88,9,dDprvKIL6Pw,51,171,Rubik's Cube| Trash Can| Barbeque
88,10,dDprvKIL6Pw,296,416,Hipocryte| Cross| Succer Punch
88,11,dDprvKIL6Pw,541,661,Flying| Kangaroo| Flag
88,12,dDprvKIL6Pw,803,923,Family and Friends
89,1,_SZbXNGBWGk,64,184,Beemer| Stranger| Master
89,99,_SZbXNGBWGk,243,363,Lemonade Advertisment
89,2,_SZbXNGBWGk,397,517,Onomatopoeia| Gifted| Elegant
89,3,_SZbXNGBWGk,656,776,Stativa| Intergalactic| Lithium
90,1,uhiwj4ho4V4,64,184,Microphone| Soundcloud| Mirror
90,99,uhiwj4ho4V4,239,359,NordVPN Advertisment
90,2,uhiwj4ho4V4,392,512,Telly| Hellcat| Big Booty Latina
90,3,uhiwj4ho4V4,625,745,Bonsai| Body Armor| Hyundai
91,1,qG37EIdryFo,57,177,Jumping Rope| TV| Trash Bag
91,99,qG37EIdryFo,246,366,NordVPN Advertisment
91,2,qG37EIdryFo,393,513,Dictionary| Space| Volcano
91,3,qG37EIdryFo,721,841,Apparatus| Microscopic| Octagon| Blanet| Blanking 
