youtube_id,start,length,end,words,notes,producer,beat_name,,,,,,,,
BbcTwW_aKxI,732,158,890,"Destiny, Eyeshadow, Clapping",,Spartan,Premise,,,,,,,,
I0ng6LIjAOg,55,118,173,"Balloons, String, Snow",,Voyage,Oswaldo,,,,,,,,
I0ng6LIjAOg,267,163,430,"Exquisite, Tree, Popcorn",Chocolate,Bad Thoughts,AOB Prod,,,,,,,,
I0ng6LIjAOg,529,186,715,"Lettuce, Car, Mississippi",,Kamikaze,,,,,,,,,
g25N4i6leas,57,199,256,"Dome, Tapas, Arctic",,Success,ThatKidGoran,,,,,,,,
g25N4i6leas,362,157,519,"Rendezvous, Photosynthesis, Synchronize",,Minimal,Beatowski,,,,,,,,
g25N4i6leas,613,170,783,"Pillow, Cage, Bag",,Mischief,ThatKidGoran,,,,,,,,
abuAR-yoWSU,84,0,84,"Keyboard, Glasses, Nails, Microsoft, Africa",,Flow Rapid,Darkside,,,,,,,,
abuAR-yoWSU,390,0,390,"Friend, Underworld, New Generation",,Bando,Darkside,,,,,,,,
abuAR-yoWSU,702,0,702,"Earphones, Ukraine, Pasta, River",,Lost Souls,Anabolic Beatz,,,,,,,,
izM7RQctoPc,79,0,79,"Laptop, Gin, Vogue, Fuck",,,,,,,,,,,
izM7RQctoPc,417,0,417,"Phenomenal, Chameleon, JBL",,,,,,,,,,,
izM7RQctoPc,622,0,622,"Majestic, Logical, The Throne",,,,,,,,,,,
BNC68gQluSE,71,0,71,"Platypus, Cleanser, Eternal",,Flow Vibe,Darkside,,,,,,,,
BNC68gQluSE,393,0,393,NordVPN Advertisment,,,,,,,,,,,
BNC68gQluSE,563,0,563,"Badonkadonk, Daddy, Strawberry",,Flow Power,Darkside,,,,,,,,
BNC68gQluSE,831,0,831,"420, Ancient, Telpathic",,,,,,,,,,,
TJk3eDFwiaY,66,0,66,"Enthusiastic, Supercalifragilisticexpialidocious, Thermometer",,Flow Tatted,Darkside,,,,,,,,
TJk3eDFwiaY,376,0,376,"Oblivion, Intrigued, Formal",,Flow Addicted,Darkside,,,,,,,,
TJk3eDFwiaY,632,0,632,"Dictionary, Piano, Headset",,My Hood,Anabolic Beatz,,,,,,,,
FxLKfWt3Kq4,62,0,62,"Compliment, Red, Conclusion",,Audio Dope,Anabolic Beatz,,,,,,,,
FxLKfWt3Kq4,333,0,333,Keeps Advertisment,,,,,,,,,,,
FxLKfWt3Kq4,480,0,480,"Lost, Boys, Porn",,Flow Water,Darkside,,,,,,,,
FxLKfWt3Kq4,772,0,772,"Dragon, Backpack, Comic Book",,Self Destruct,,,,,,,,,
QaRkdWCTKkM,65,0,65,"War Zone, Flip-Flop, Sprite",,,,,,,,,,,
QaRkdWCTKkM,361,0,361,Skill Share Promotion,,,,,,,,,,,
QaRkdWCTKkM,497,0,497,"Champagne, Flannel, 2pac",,,,,,,,,,,
QaRkdWCTKkM,794,0,794,"Superficial, Detrimental, Psychotheraputic",,,,,,,,,,,
O9AxmMO9xKw,74,0,74,"Flabbergasted, Ratatoui, Tweezers",,,,,,,,,,,
O9AxmMO9xKw,327,0,327,"Mavericks, Airplanes, Beach",,,,,,,,,,,
O9AxmMO9xKw,631,0,631,"Discombobulated, Kleenex, Tekashi ",,,,,,,,,,,
AO0yvg0pLiM,66,0,66,"Baseball, New York, Phone, Rendezvous",,,,,,,,,,,
AO0yvg0pLiM,229,0,229,Keeps Advertisment,,,,,,,,,,,
AO0yvg0pLiM,492,0,492,"Curtain, Clouds, Dance",,,,,,,,,,,
AO0yvg0pLiM,764,0,764,"Biblican, Generic, Titanium, Pineapple",,,,,,,,,,,
qQKgwgWzg58,97,0,97,"Bumpy, Kareem, Blue Jacket",,StqQKgwgWzg5rollin,,,,,,,,,
qQKgwgWzg58,342,0,342,NordVPN Advertisment,,,,,,,,,,,
qQKgwgWzg58,504,0,504,"Haunted, Microphone, Angel",,Flow Dangerous,Darkside,,,,,,,,
qQKgwgWzg58,775,0,775,"Ambiguous, Recreational, Innovative",,Quick,Classy,,,,,,,,
xqCEjV48TWA,91,0,91,"Meniscus, Cardiovascular, Clavicle",,Kick It,Raias Beats,,,,,,,,
